poly_ID,monomers,mon_SMILES,mon_class_wt_%,mon_mol_distribution,DP,MIC_ecoli
34,"['Tma', 'Do']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C']","[90.0, 0.0, 10.0]","[0.91245961, 0.08754039]",70,256
35,"['Tma', 'Phe', 'Do']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCCCCCCNC(=O)C=C']","[80.0, 0.0, 20.0]","[0.75911596, 0.19991786, 0.04096618]",70,256
36,"['Tma', 'Aeg', 'Phe', 'Olam']","['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']","[90.0, 0.0, 10.0]","[0.84489248, 0.05332674, 0.06980632, 0.03197446]",70,128
37,"['Tma', 'Mep', 'Ni', 'Do']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)NCCCOC', 'CC(C)NC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C']","[70.0, 5.0, 25.0]","[0.59286915, 0.06113782, 0.30942782, 0.03656522]",70,256
38,"['Tma', 'Mo', 'Phe', 'Olam']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']","[60.0, 15.0, 25.0]","[0.52969823, 0.19390437, 0.24799873, 0.02839867]",70,128
39,"['Tma', 'Mo', 'Phe', 'Do']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCCCCCCNC(=O)C=C']","[40.0, 50.0, 10.0]","[0.32114784, 0.58780609, 0.05638417, 0.0346619]",70,>512
40,"['Tma', 'Aeg', 'Oct', 'Tmb']","['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'CCCCCCCCNC(=O)C=C', 'CC(C)(C)CC(C)(C)NC(=O)C=C']","[80.0, 0.0, 20.0]","[0.67773417, 0.10388523, 0.16378545, 0.05459515]",70,128-256
41,"['Tma', 'Mo', 'Mep', 'Do', 'Bam']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)NCCCOC', 'CCCCCCCCCCCCNC(=O)C=C', 'CCCCOCNC(=O)C=C']","[65.0, 25.0, 10.0]","[0.57043705, 0.2570061, 0.06334955, 0.037888, 0.07131929]",70,256
42,"['Tma', 'Aeg', 'Mo', 'Phe', 'Bam']","['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)Nc1ccccc1', 'CCCCOCNC(=O)C=C']","[30.0, 25.0, 45.0]","[0.18274854, 0.03921718, 0.26759191, 0.15400944, 0.35643293]",70,512
43,"['Tma', 'Mep', 'Phe', 'Olam', 'Bmam']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)NCCCOC', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)', 'C=CC(=O)NCCCC']","[70.0, 5.0, 25.0]","[0.67422068, 0.06952695, 0.06764197, 0.06196619, 0.12664421]",70,64